Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
Bukit Jalil,425000,2,1,1087.087,Partly Furnished,Land area,4,0,0,Condominium
Bangsar,10000000,7,5,6913.013,Partly Furnished,Built-up,5,1,0,Condominium
Mont Kiara,1800000,4,2,2243.043,Partly Furnished,Built-up,3,1,0,Condominium
Cheras,439600,2,2,925.0,Partly Furnished,Land area,3,0,0,Condominium
Jalan Kuching,580000,2,1,1590.09,Partly Furnished,Built-up,3,0,0,Condominium
Mont Kiara,618000,1,1,650.05,Fully Furnished,Land area,1,0,0,Serviced Residence
Mont Kiara,1518000,3,3,2648.048,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,2220000,4,3,2973.073,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,3600000,4,2,3897.097,Fully Furnished,Built-up,4,0,0,Serviced Residence
Taman Tun Dr Ismail,1150000,2,2,51.08,Partly Furnished,Land area,3,0,0,Terrace/Link House
Desa ParkCity,2800000,4,3,142556.575,Partly Furnished,Land area,4,1,0,Terrace/Link House
Taman Tun Dr Ismail,3100000,4,3,3600.0,Partly Furnished,Land area,4,1,0,Semi-detached House
Taman Tun Dr Ismail,1380000,3,2,49.075,Partly Furnished,Land area,4,0,0,Terrace/Link House
Taman Tun Dr Ismail,1450000,2,2,400972.02,Fully Furnished,Land area,3,0,0,Terrace/Link House
Bangsar,4900000,4,4,11676.076,Partly Furnished,Land area,7,0,0,Bungalow
Taman Tun Dr Ismail,1680000,3,4,49.575,Partly Furnished,Land area,4,0,0,Terrace/Link House
Damansara Heights,1550000,3,2,52.08,Unfurnished,Land area,4,0,0,Terrace/Link House
Mont Kiara,1950000,4,3,2535.035,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,3600000,4,2,3897.097,Partly Furnished,Built-up,3,1,0,Serviced Residence
Sungai Besi,600000,2,2,1025.025,Partly Furnished,Land area,2,1,0,Serviced Residence
City Centre,4130000,5,2,3713.013,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,1780000,3,2,1232.032,Fully Furnished,Built-up,3,0,0,Condominium
Bangsar,6380000,5,3,4025.025,Partly Furnished,Built-up,3,1,0,Condominium
Bangsar,6900000,6,3,4945.045,Partly Furnished,Built-up,4,1,0,Condominium
