Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KLCC, Kuala Lumpur","RM 1,420,000",2,2,1,Condominium (Intermediate),Built-up : 976 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4+1,5,2,Serviced Residence (Corner),Land area : 3897 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,139,000",1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,930,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,114 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 1,620,000",1+1,2,1,Serviced Residence,"Built-up : 1,194 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,300,000",2+1,3,2,Condominium (Intermediate),"Built-up : 1,367 sq. ft.",Partly Furnished
"Country Heights Damansara, Kuala Lumpur","RM 8,000,000",7,7,6,Bungalow (Corner),Land area : 10600 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 6,500,000",5+1,4,6,Bungalow (Corner),Land area : 7880 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 1,600,000",3,2,2,Townhouse,"Built-up : 2,400 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,730,000",3+1,3,2,Condominium (Corner),"Built-up : 1,690 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,500,000",3+1,2,2,Condominium (Intermediate),"Built-up : 1,346 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,500,000",3+1,3,2,Condominium (Intermediate),"Built-up : 1,400 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,180,000",2+1,3,2,Condominium,"Built-up : 1,507 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,950,000",3+1,4,2,Condominium (Corner),"Built-up : 2,674 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,090,000",2,2,2,Serviced Residence,"Built-up : 1,572 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,230,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 1,378 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 350,000",3,2,1,Serviced Residence,Built-up : 950 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,230,000",1,1,1,Serviced Residence (Intermediate),Built-up : 850 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,250,000",2+1,2,2,Condominium (Intermediate),"Built-up : 1,303 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,500,000",3+1,5,3,3-sty Terrace/Link House (EndLot),Land area : 22x62 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,100,000",2+1,3,2,Condominium (Intermediate),"Built-up : 1,378 sq. ft.",Unfurnished
"Desa ParkCity, Kuala Lumpur","RM 1,980,000",3+1,4,3,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 1,300,000",3,2,2,Townhouse (Intermediate),Land area : 24x55 sq. ft.,Partly Furnished
"Taman Melawati, Kuala Lumpur","RM 2,800,000",4+1,6,4,Bungalow (Corner),Land area : 5628 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,900,000",2,2,2,Serviced Residence,"Built-up : 1,636 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,300,000",1,1,1,Serviced Residence (EndLot),Built-up : 925 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 438,000",3,2,1,Apartment (Corner),"Built-up : 1,018 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 530,000",3+1,2,1,Serviced Residence (Corner),Built-up : 900 sq. ft.,Partly Furnished
"Setiawangsa, Kuala Lumpur","RM 590,000",3,2,2,Condominium (Intermediate),"Built-up : 1,196 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",2+1,2,1,Condominium (Corner),Built-up : 915 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 380,000",3+1,2,2,Condominium,Built-up : 950 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur","RM 1,198,000",1+1,1,1,Serviced Residence (Corner),Built-up : 764 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",Studio,1,1,Condominium (EndLot),Built-up : 657 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 12,000,000",6+1,6,4,Bungalow,Land area : 11500 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,280,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 25x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,780,000",1,1,1,Serviced Residence,Built-up : 728 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,1,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,340,000",4+1,6,4,3-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,600,000",4+1,6,4,3-sty Terrace/Link House (EndLot),Land area : 10+24 x 80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 800,000",2+1,3,1,Serviced Residence (Corner),"Built-up : 1,055 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 320,000",4,2,2,Serviced Residence (Corner),Land area : 646sf~1001sf sq. ft.,Unfurnished
"Bukit Bintang, Kuala Lumpur","RM 6,000,000",4+1,5,2,Serviced Residence (Corner),"Built-up : 4,157 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,090,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",3+1,4,2,Serviced Residence (EndLot),"Built-up : 1,378 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,330,000",3+1,3,2,2-sty Terrace/Link House (Intermediate),Land area : 24x75 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,850,000",4+1,4,2,Condominium (Intermediate),"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,400,000",2,2,1,Serviced Residence,"Built-up : 1,006 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 1,613,300",3+1,5,3,Condominium,"Built-up : 2,336 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,440,000",1,2,1,Serviced Residence (Corner),"Built-up : 1,023 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 5,000,000",3+1,3,4,Bungalow (Corner),Land area : 7700 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 7,300,000",6,6,6,Bungalow (Corner),Land area : 7300 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur","RM 783,990",1,1,1,Serviced Residence,Built-up : 650 sq. ft.,Partly Furnished
"Chan Sow Lin, Kuala Lumpur","RM 569,200",1+1,2,2,Serviced Residence,Built-up : 888 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 439,600",3,2,2,Condominium (Intermediate),Land area : 850sf~1000sf sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,150,000",3,2,1,Condominium (Corner),"Built-up : 1,560 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 425,000",4,2,1,Condominium (Intermediate),Land area : 1087 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 10,000,000",5+1,7,5,Condominium (Corner),"Built-up : 6,913 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,800,000",3+1,4,2,Condominium (Corner),"Built-up : 2,243 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 439,600",3,2,2,Condominium,Land area : 850-1000 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 580,000",3,2,1,Condominium (Corner),"Built-up : 1,590 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 618,000",1,1,1,Serviced Residence (Intermediate),Land area : 650 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,518,000",3+1,3,3,Condominium (Corner),"Built-up : 2,648 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,220,000",4+1,4,3,Condominium,"Built-up : 2,973 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,150,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,800,000",4+1,4,3,2-sty Terrace/Link House (EndLot),"Land area : 2850, 38x75 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 3,100,000",4+1,4,3,Semi-detached House,Land area : 3600 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,380,000",4,3,2,2-sty Terrace/Link House,Land area : 23x75 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,450,000",3,2,2,1-sty Terrace/Link House (Intermediate),"Land area : 24x80, 1920 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 4,900,000",7,4,4,Bungalow (Intermediate),Land area : 11676 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,680,000",4,3,4,2-sty Terrace/Link House,Land area : 24x75 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,550,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 1,950,000",3+1,4,3,Condominium,"Built-up : 2,535 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 600,000",2+1,2,2,Serviced Residence (Intermediate),Land area : 1025 sq. ft.,Partly Furnished
"City Centre, Kuala Lumpur","RM 4,130,000",4+1,5,2,Condominium (Corner),"Built-up : 3,713 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,780,000",3,3,2,Condominium,"Built-up : 1,232 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 6,380,000",3+1,5,3,Condominium (Corner),"Built-up : 4,025 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 6,900,000",4+1,6,3,Condominium (Corner),"Built-up : 4,945 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 660,000",3,2,2,Condominium (Corner),Land area : 992 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,125,000",1+1,2,2,Serviced Residence (Intermediate),"Built-up : 1,421 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,480,000",1,1,1,Serviced Residence (Intermediate),"Built-up : 1,023 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 4,000,000",4+1,5,2,Semi-detached House (Intermediate),Land area : 3700 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,050,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 1,313 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,833,000",1,1,1,Serviced Residence,Built-up : 925 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,999,000",3+1,3,3,Serviced Residence (EndLot),"Built-up : 2,066 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 638,000",1+1,1,1,Serviced Residence (Intermediate),Built-up : 721 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 6,842,500",3+1,5,4,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 8,476,050",4+1,5,4,Condominium,"Built-up : 5,137 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,415,000",3+1,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,380,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 1,701 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 8,280,000",4+1,6,4,Condominium (Corner),"Built-up : 5,137 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 3,690,000",4+1,5,6,Semi-detached House,Land area : 3658 sq. ft.,Unfurnished
"Sri Petaling, Kuala Lumpur","RM 950,000",4+1,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1650 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 4,000,000",6+1,7,4,Bungalow (Intermediate),Land area : 5337 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 9,960,000",6,7,6,Condominium,"Built-up : 6,913 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 6,660,000",4,5,3,Condominium (Corner),"Built-up : 4,771 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 6,300,000",3+1,5,3,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 628,000",3,2,1,Condominium (Intermediate),"Built-up : 1,150 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,590,000",3+1,4,2,Condominium,"Built-up : 1,878 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 428,000",3+1,2,2,Serviced Residence,Built-up : 918 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 2,250,000",6,5,7,3-sty Terrace/Link House (Corner),Land area : 40+30 X 80 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 7,500,000",3+1,5,4,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",2,2,1,Condominium,Built-up : 867 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,600,000",4+1,5,3,Condominium (Corner),"Built-up : 3,478 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,750,000",3+1,4,2,Serviced Residence,"Built-up : 2,426 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur","RM 5,500,000",5+1,6,4,Bungalow (Intermediate),Land area : 5446 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur","RM 428,000",3+1,2,2,Serviced Residence,Built-up : 918 sq. ft.,Unfurnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 14,800,000",7+1,9,6,Bungalow (Corner),Land area : 12000 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 28,000,000",14,16,10,Bungalow,Land area : 26000 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,800,000",3+1,3,3,2-sty Terrace/Link House,Land area : 22x95 sq. ft.,Partly Furnished
"Sentul, Kuala Lumpur","RM 770,000",3,3,2,Condominium,"Built-up : 1,186 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 3,600,000",7,7,5,Bungalow,Land area : 5000 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur","RM 1,200,000",2,2,1,Condominium (Intermediate),Built-up : 976 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur","RM 720,000",3+1,3,2,Condominium (Corner),"Built-up : 1,577 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,150,000",5+1,3,4,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 928,000",4,3,2,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 1,680,000",6,4,6,2-sty Terrace/Link House (Corner),Land area : 48x85 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,350,000",1+1,2,1,Serviced Residence,Built-up : 900 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 360,000",3,2,1,Condominium (Intermediate),"Built-up : 1,088 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 868,000",5,4,2,2-sty Terrace/Link House (Intermediate),Land area : 23x75 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,865,000",3+1,5,3,Condominium (Corner),"Built-up : 2,535 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,308,000",1+1,1,1,Condominium (Corner),Built-up : 753 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,760,000",2+1,2,2,Condominium (Corner),"Built-up : 1,159 sq. ft.",Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 568,000",2,2,2,Condominium (Corner),Built-up : 904 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,020,000",3,2,1,Serviced Residence (Corner),Built-up : 813 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,400,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,103 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,099,000",2+1,2,1,Serviced Residence,Built-up : 833 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,850,000",3+1,3,3,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,550,000",2,2,2,Serviced Residence (Corner),Land area : 910 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,420,000",4,4,2,Condominium,"Built-up : 1,496 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,280,000",3+1,3,2,2-sty Terrace/Link House (Intermediate),Land area : 24x75 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,060,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 2,550,000",4+1,5,2,Condominium,"Built-up : 2,973 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 980,000",4+1,3,2,Condominium (Corner),"Built-up : 1,513 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 2,650,000",3+1,5,3,Serviced Residence,"Built-up : 2,077 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,364,000",2+1,2,2,Serviced Residence (Intermediate),"Built-up : 1,399 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,420,000",2+1,2,1,Condominium (Corner),Built-up : 976 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,889,000",1,2,1,Serviced Residence (Intermediate),"Built-up : 1,163 sq. ft.",Fully Furnished
"City Centre, Kuala Lumpur","RM 1,080,000",2,2,1,Condominium (Intermediate),"Built-up : 1,411 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur","RM 916,000",1,1,1,Condominium,"Built-up : 1,119 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,500,000",5+1,4,4,Semi-detached House,"Built-up : 3,833 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 2,200,000",4+1,5,5,Semi-detached House (Intermediate),Land area : 3282 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 3,600,000",4+1,4,6,Bungalow (Intermediate),Land area : 9670 sq. ft.,Unfurnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 5,000,000",7+1,5,3,Bungalow,Land area : 6000 sq. ft.,Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,780,000",4,3,2,Semi-detached House,Land area : 45x80 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 600,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Unfurnished
"Sungai Besi, Kuala Lumpur","RM 1,000,000",5,4,2,3-sty Terrace/Link House (Intermediate),Land area : 20x80 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur","RM 2,434,900",3+1,4,1,Serviced Residence,Land area : 1873 sq. ft.,Unfurnished
"Damansara Heights, Kuala Lumpur","RM 1,600,000",1+1,2,1,Serviced Residence,"Built-up : 1,152 sq. ft.",Partly Furnished
"Taman Melawati, Kuala Lumpur","RM 2,000,000",6,6,3,Semi-detached House (Intermediate),Land area : 3200 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 535,000",1,1,1,Serviced Residence (Intermediate),Built-up : 762 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,300,000",4+1,6,4,3-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,200,000",3,3,2,Serviced Residence,"Built-up : 1,335 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur","RM 2,550,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 2,590,000",5+1,6,2,Bungalow (Intermediate),Land area : 58x80 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 1,480,000",3+1,4,2,Condominium (Intermediate),"Built-up : 1,876 sq. ft.",Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 1,348,000",5,6,4,3-sty Terrace/Link House (Intermediate),"Built-up : 3,216 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 618,000",1,1,1,Serviced Residence (Intermediate),Built-up : 462 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,590,000",3+1,3,2,Condominium,"Built-up : 2,201 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,700,000",3+1,4,2,Condominium,"Built-up : 1,496 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,950,000",4+1,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,1,2,Serviced Residence (Corner),"Built-up : 1,023 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",2+1,3,2,Serviced Residence (Corner),"Built-up : 1,335 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,166,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,423 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 370,000",3,2,2,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium (EndLot),Built-up : 751 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur","RM 6,600,000",3+1,5,3,Condominium (Corner),"Built-up : 4,025 sq. ft.",Unknown
"Bangsar, Kuala Lumpur","RM 7,400,000",4+1,5,5,Condominium,"Built-up : 5,137 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 12,800,000",6+1,9,10,Bungalow (Intermediate),Land area : 8000 sq. ft.,Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 4,500,000",5+1,7,3,Bungalow,Land area : 2970 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 6,800,000",5+2,6,6,Bungalow,Land area : 7416 sq. ft.,Partly Furnished
"KL Eco City, Kuala Lumpur","RM 1,288,972",2,2,1,Condominium,"Built-up : 1,076 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur","RM 3,700,000",3,3,1,Serviced Residence,"Built-up : 1,738 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 410,000",2,2,2,Condominium (Corner),Built-up : 885 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,600,000",4,3,2,2-sty Terrace/Link House,Land area : 23x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,360,000",1+1,2,2,Serviced Residence,"Built-up : 1,421 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,770,000",1+1,2,1,Serviced Residence,"Built-up : 1,152 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,860,000",3+1,4,2,Condominium (Corner),"Built-up : 2,070 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,050 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,080,000",3+1,4,2,Condominium (Intermediate),"Built-up : 1,875 sq. ft.",Partly Furnished
"Pantai, Kuala Lumpur","RM 570,000",3,2,1,Condominium (Corner),Land area : 1200 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,880,000",3+1,3,2,Condominium,"Built-up : 2,243 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,685,000",3+1,3,2,Condominium,"Built-up : 2,038 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 550,000",3,2,2,Condominium (Intermediate),"Built-up : 1,073 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 490,000",5,3,2,1.5-sty Terrace/Link House (Intermediate),Land area : 20x65 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 1,250,000",5,5,4,3-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,500,000",1,2,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 2,044,800",2,2,1,Serviced Residence,Built-up : 912 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,250,000",3+1,4,2,Condominium,"Built-up : 1,700 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 4,950,000",4,4,2,Serviced Residence (Penthouse),"Built-up : 3,300 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,340,000",4+1,5,3,Condominium,Land area : 0 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,698,000",3+1,4,2,Condominium,Land area : 0 sq. ft.,Partly Furnished
